ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2018,6,SARDINA COMUN,155508,2396.423999999999,1,1,NA,0,2018-06-01,23661.932000000004,0,23661.932000000004,3,1,0,1
2018,7,ANCHOVETA,90000,13.099,1,1,NA,0,2018-07-01,16.051000000000002,0,16.051000000000002,2,0,0,1
2018,7,SARDINA COMUN,102891.18507595295,1134.518,2,2,0.09563366945575487,0,2018-07-01,1343.4790000000003,0,1343.4790000000003,4,0,0,1
2018,10,ANCHOVETA,128777.84895512559,163.99099999999999,2,2,0.071046081962124,0,2018-10-01,1658.6150000000005,475.379,1183.2359999999999,3,0,0.2866120226815746,0.7133879773184251
2018,10,SARDINA COMUN,125455.94594172217,8830.285,2,3,0.03146413288266747,0,2018-10-01,12456.342999999997,1986.486,10469.856999999996,4,0,0.15947585900613048,0.8405241409938694
2018,11,ANCHOVETA,148831.31692949595,907.8769999999998,3,3,0.2633061522382459,0,2018-11-01,15864.485000000032,0,15864.485000000032,4,1,0,1
2018,11,SARDINA COMUN,130770.69362607997,15635.589999999998,3,4,0.21066492485954033,0,2018-11-01,47184.33100000007,0,47184.33100000007,4,2,0,1
2018,12,ANCHOVETA,168744.57812274908,173.541,3,3,0.3291710398543427,0,2018-12-01,1416.973,0,1416.973,4,0,0,1
2018,12,SARDINA COMUN,154591.5591343198,2825.339,3,4,0.28757481192496986,0,2018-12-01,7839.774000000001,0,7839.774000000001,4,0,0,1
2019,1,JUREL,240000,8860.960000000001,1,1,NA,0,2019-01-01,51711.32699999996,42049.51499999996,9661.812,3,1,0.8131586915183978,0.18684130848160224
2019,2,ANCHOVETA,116019,9.41,1,1,NA,0,2019-02-01,92.64099999999999,0,92.64099999999999,4,0,0,1
2019,2,SARDINA COMUN,116079,11544.53,1,1,NA,0,2019-02-01,12962.758,0,12962.758,5,1,0,1
2019,3,ANCHOVETA,145688.02549219143,3517.9400000000005,2,2,0.026827899557213188,0,2019-03-01,31798.80000000004,0,31798.80000000004,3,1,0,1
2019,3,SARDINA COMUN,135011.40280425036,32633.319999999992,2,3,0.051205805326015576,0,2019-03-01,108830.06100000029,0,108830.06100000029,4,2,0,1
2019,4,ANCHOVETA,139920.18065922102,6392.09,3,3,0.21839123262879506,0,2019-04-01,44711.911000000015,0,44711.911000000015,4,1,0,1
2019,4,SARDINA COMUN,135825.53617735862,24052.06,3,4,0.17084088155264832,0,2019-04-01,65829.34599999996,0,65829.34599999996,4,2,0,1
2019,5,ANCHOVETA,141013.7545482694,3714.05,3,3,0.2778815117167498,0,2019-05-01,26871.669,0,26871.669,4,1,0,1
2019,5,SARDINA COMUN,130510.5224860511,8581.32,3,4,0.15541960796858584,0,2019-05-01,32305.72100000002,0,32305.72100000002,4,1,0,1
2019,6,ANCHOVETA,139095.4204943647,3164.8700000000003,3,3,0.23786589517071974,0,2019-06-01,13108.639999999996,0,13108.639999999996,4,2,0,1
2019,6,SARDINA COMUN,129954.84421000435,3589.64,3,4,0.15147642529050484,0,2019-06-01,14043.367000000007,0,14043.367000000007,4,1,0,1
2019,7,ANCHOVETA,144208.01864597673,159.82,3,3,0.4281265912292842,0,2019-07-01,4331.212000000001,57.192,4274.020000000001,4,1,0.013204618014541885,0.9867953819854581
2019,7,SARDINA COMUN,131933.6821481073,870.72,3,4,0.8453466073067211,0,2019-07-01,7664.082999999995,900.633,6763.449999999995,4,0,0.11751347160514841,0.8824865283948516
2019,11,ANCHOVETA,156987.77689587235,4826.669999999998,2,2,0.011216457026299042,0,2019-11-01,28448.712000000003,505.0139999999999,27943.698000000004,3,1,0.017751735122489898,0.9822482648775102
2019,11,SARDINA COMUN,144045.9487775222,16226.469999999998,3,4,0.7866339903316869,0,2019-11-01,47715.96300000003,2180.071,45535.89200000002,4,2,0.04568850470438998,0.9543114952956098
2019,12,ANCHOVETA,153883.698178318,1953.1399999999999,2,3,0.03372582120637617,0,2019-12-01,8315.577999999998,0,8315.577999999998,3,1,0,1
2019,12,SARDINA COMUN,142656.4147247565,15195.089999999997,3,5,0.7815137457635107,0,2019-12-01,30366.256999999994,0,30366.256999999994,4,2,0,1
2020,1,JUREL,243687.17528821412,20535.95,1,2,NA,0,2020-01-01,80473.19799999999,69904.875,10568.323,2,1,0.8686727598423516,0.13132724015764854
2020,2,ANCHOVETA,124176,1714.996,1,1,NA,0,2020-02-01,2591.6190000000006,0,2591.6190000000006,5,0,0,1
2020,2,JUREL,199335.1829079683,4969.614000000001,3,3,0.26883276463021183,0,2020-02-01,102478.11599999994,99736.36499999992,2741.751,3,2,0.973245497604581,0.026754502395418763
2020,2,SARDINA COMUN,124176,5300.462,1,1,NA,0,2020-02-01,6170.065,0,6170.065,5,0,0,1
