"","ANIO","REG","MES","NM_RECURSO","Precio_ponderado","Q_total_consolidado","N_Plantas_Compradoras"
"33",2020,1,5,"ANCHOVETA",167152,2256.538,1
"34",2020,1,6,"ANCHOVETA",163016,4833.65,1
"35",2020,1,7,"ANCHOVETA",169033,4460.896,1
"36",2020,1,8,"ANCHOVETA",166614,1232.94,1
"37",2020,1,10,"ANCHOVETA",151259,1598.639,1
"38",2020,1,11,"ANCHOVETA",135534,1886.19,1
"39",2020,1,12,"ANCHOVETA",156578,2659.41,1
"40",2021,1,7,"ANCHOVETA",142236,10676.6,1
"41",2021,1,10,"ANCHOVETA",161008,6877.349,1
"42",2021,1,11,"ANCHOVETA",161513,4369.546,1
"43",2021,1,12,"ANCHOVETA",170513,4485.261,1
"44",2022,1,7,"ANCHOVETA",197367,12995.446,1
"45",2022,1,8,"ANCHOVETA",195227,5320.49,1
"46",2022,1,9,"ANCHOVETA",194655,490.683,1
"47",2022,1,10,"ANCHOVETA",195887,5077.886,1
"48",2022,1,11,"ANCHOVETA",191309,6204.471,1
"49",2022,1,12,"ANCHOVETA",186280,3678.103,1
"50",2024,1,3,"ANCHOVETA",226568,18.529,1
"51",2024,1,4,"ANCHOVETA",213084,27.551,1
"52",2024,1,6,"ANCHOVETA",201226,156.957,1
"53",2024,1,1,"JUREL",229000,495.517,1
"54",2024,1,2,"JUREL",229000,3605.926,1
"55",2024,1,3,"JUREL",226568,6656.575,1
"56",2024,1,4,"JUREL",210084,4159.895,1
"57",2024,1,5,"JUREL",194933,4543.703,1
"58",2024,1,6,"JUREL",201226,3299.22,1
"59",2019,2,3,"ANCHOVETA",113974,35056.14,1
