year,month,specie,harvest_LANCHAS_IFOP_centrosur,harvest_BOTES_IFOP_centrosur,harvest_IND_IFOP_norte,harvest_IND_IFOP_centrosur,total_harvest_IFOP_centrosur,total_harvest_IFOP_norte
2024,abr,SARDINA COMUN,10303.214000000002,30.445,0,128.686,10462.345000000001,0
2024,may,SARDINA COMUN,8887.217999999999,50.032,0,265.264,9202.513999999997,0
2024,jun,SARDINA COMUN,934.6939999999998,20.3,NA,NA,954.9939999999998,NA
2024,jul,SARDINA COMUN,13218.43500000001,106.42699999999999,NA,NA,13324.86200000001,NA
2024,ago,SARDINA COMUN,41.85,31.5,NA,NA,73.35,NA
2024,sept,SARDINA COMUN,25.934,24,NA,NA,49.934,NA
2024,oct,SARDINA COMUN,2433.991000000001,2.8249999999999997,0,518.542,2955.3580000000006,0
2024,nov,SARDINA COMUN,13331.620999999997,3.296,0,1640.0839999999998,14975.000999999998,0
2024,dic,SARDINA COMUN,8162.141000000002,5.9,NA,NA,8168.041000000002,NA
2012,ene,ANCHOVETA,3.8,3.05,2425.507,0,6.85,2425.507
2012,feb,ANCHOVETA,1.9460000000000002,6,56630.996000000014,249.91999999999993,257.86599999999993,56630.996000000014
2012,mar,ANCHOVETA,5594.745999999999,81.83500000000001,29859.355999999985,1053.2960000000003,6729.8769999999995,29859.355999999985
2012,abr,ANCHOVETA,28449.63299999999,161.55900000000003,17792.885999999995,1966.0320000000002,30577.22399999999,17792.885999999995
2012,may,ANCHOVETA,10124.932999999999,24.415,13008.573,737.2610000000001,10886.609,13008.573
